Date,return_AAPL,return_AMZN,return_EBAY,return_GOOGL,return_INTC,return_QCOM,return_SPY
2019/3/21,0.036830314,0.012235218,0.013623978,0.007909094,0.015235953,0.010671798,0.011294701
2019/3/22,-0.02070835,-0.029951733,-0.014784919,-0.023039632,-0.025256241,-0.016444521,-0.019246341
2019/3/25,-0.012091075,0.005377466,0.001909932,-0.008504135,-0.009012374,-0.003167916,-0.000751982
2019/3/26,-0.010331737,0.005354345,0.004901988,-0.006297115,0.012504737,0.024011318,0.007454078
2019/3/27,0.008994101,-0.010124713,-0.001897019,-0.009942477,-0.005239502,-0.018793103,-0.005229087
2019/3/28,0.001326471,0.004372256,-0.00135767,-0.004872616,-0.000940538,-0.006325795,0.003790442
2019/3/29,0.006517571,0.004133232,0.009787928,0.003941067,0.011109019,0.008488064,0.006305511
2019/4/1,0.006791303,0.018778571,0.014539607,0.018769779,0.015083743,0.013677047,0.011859161
2019/4/2,0.014536707,-0.000115733,0.006369374,0.005471367,-0.002751734,0.004843435,0.000489851
2019/4/3,0.006854984,0.003704545,0.001846097,0.004371501,0.020603366,-0.007058013,0.001573634
2019/4/4,0.001740445,-0.001010582,0.001579284,0.00713563,0.00793075,0.003120683,0.002653376
2019/4/5,0.006694241,0.010127247,-0.005519028,-0.006560335,-0.005722461,0.00224682,0.004840219
2019/4/8,0.015736081,0.006847054,-0.000792785,-0.002616635,0.001438885,-0.00396627,0.000762387
2019/4/9,-0.002998541,-0.007578962,-0.001586908,-0.004626484,-0.006465517,-0.005540149,-0.005124869
2019/4/10,0.005614015,0.00625871,-0.000794675,0.003126334,0.007772957,-0.019324461,0.003410988
2019/4/11,-0.008324195,-0.001764715,-0.037115614,0.00260269,0.000896843,-0.007633588,-0.000277561
2019/4/12,-0.000402111,-0.00054764,-0.004130011,0.010863197,0.011111093,0.018783523,0.006765945
2019/4/15,0.001810228,0.000982028,0.001658889,0.00310784,-0.002481372,0.004038613,-0.000654821
2019/4/16,0.000100407,0.009848956,0.004416202,0.004386362,0.00764037,0.232074099,0.000655251
2019/4/17,0.019473044,0.000955378,-0.011541578,0.006680667,0.032622148,0.122498302,-0.002446898
2019/4/18,0.003593738,-0.001678449,0.000277982,0.001072424,-0.001195338,0.010242754,0.001969172
2019/4/22,0.003286569,0.013761753,0.004724903,0.009899586,0.005641956,0.026035825,0.00086201
2019/4/23,0.014423292,0.01931848,0.014384398,0.013423587,-0.000680058,0.057948029,0.008991684
2019/4/24,-0.001542279,-0.011446285,0.050450016,-0.008295294,-0.001020721,0.001268462,-0.002219318
2019/4/25,-0.00907513,0.000262916,-0.010643795,0.005785419,-0.018903269,-0.020269515,-0.000616032
2019/4/26,-0.004773948,0.025433042,0.006559958,0.007953728,-0.089914961,0.018455378,0.004656792
2019/4/29,0.001517357,-0.006254364,-0.002867596,0.014701434,-0.025176407,0.00704064,0.001567741
2019/4/30,-0.019256146,-0.006144165,0.013071895,-0.075019282,-0.001369595,-0.012836711,0.000510409
2019/5/1,0.049085583,-0.00778606,-0.024516155,-0.021385214,-0.005485952,0.002786555,-0.007516465
2019/5/2,-0.006507752,-0.005597678,-0.005555529,-0.005803989,-0.004137096,0.008915086,-0.002158956
2019/5/3,0.012431308,0.032428119,0.018355919,0.019751257,0.023738893,0.024672963,0.009787781
2019/5/6,-0.015442758,-0.006068869,-0.010449269,0.003286883,-0.010241527,-0.011647452,-0.004115199
2019/5/7,-0.026957004,-0.015149598,-0.005279857,-0.012233319,-0.014447501,-0.034560941,-0.016699726
2019/5/8,0.000197141,-0.001681406,-0.003715472,-0.006854042,-0.024564144,-0.007746432,-0.001389206
2019/5/9,-0.01074417,-0.00933377,0.002131007,-0.002400159,-0.053208832,-0.008989851,-0.003025754
2019/5/10,-0.017636548,-0.005205627,-0.006379532,-0.000282504,-0.009008966,0.024588172,0.00502338
2019/5/13,-0.058119447,-0.035608804,-0.040395986,-0.026592142,-0.031168895,-0.022716648,-0.025130236
2019/5/14,0.015830304,0.009568295,0.025926959,-0.010320328,0.009159965,0.02670161,0.009043684
2019/5/15,0.0119792,0.016863046,0.006521794,0.040840695,0.009962387,0.001509404,0.00585746
2019/5/16,-0.004399749,0.019463924,0.006209476,0.011701358,-0.001972819,-0.039995408,0.009261257
2019/5/17,-0.005681818,-0.020219414,-0.009927502,-0.013271398,-0.014056666,-0.015819322,-0.006465123
2019/5/20,-0.031269862,-0.005366522,-0.009214119,-0.020636899,-0.029627936,-0.059877264,-0.006612035
2019/5/21,0.019170966,-0.000779975,0.000547073,0.00854394,0.020661111,0.014748068,0.009015664
2019/5/22,-0.020471639,0.001162859,-0.007381109,0.001221402,-0.010346357,-0.10855308,-0.003071463
2019/5/23,-0.017069679,-0.023767569,-0.009914624,-0.009092884,0.012045432,-0.015149272,-0.012218569
2019/5/24,-0.00384061,0.004296411,0.005006954,-0.005875968,0.000898293,-0.030032273,0.002268321
2019/5/28,-0.004134794,0.00721229,0.002491005,0.000834416,-0.022436617,-0.012686845,-0.009300534
2019/5/29,-0.004769074,-0.009387841,-0.003313169,-0.017217274,0.015148038,0.005966024,-0.006710709
2019/5/30,0.005186605,-0.001577623,0.007756316,0.001312653,0.011304544,0.012621563,0.002731196
2019/5/31,-0.018115513,-0.022710756,-0.012369461,-0.013295792,-0.015425866,0.003454032,-0.013475289
2019/6/3,-0.010110264,-0.046409442,-0.008627915,-0.061238147,-0.013169891,-0.002394433,-0.002542893
2019/6/4,0.036583935,0.021781968,0.025828243,0.015162601,0.0306029,0.026852579,0.021706639
2019/6/5,0.016143353,0.00516891,0.000547345,-0.009340985,-0.005358383,-0.020891162,0.008662147
2019/6/6,0.014681758,0.009122798,0.006838074,0.00298667,0.012345657,0.008504909,0.006502675
2019/6/7,0.026616953,0.028312344,0.01901649,0.019670521,0.020620866,0.016274687,0.010007044
2019/6/10,0.012779427,0.031374187,0.016262358,0.013469131,0.016728221,0.02693258,0.004588935
2019/6/11,0.011579583,0.00164995,0.002885651,-0.001588506,0.001068355,0.009923405,-0.000242264
2019/6/12,-0.003182547,-0.004496435,0.0206644,-0.001794626,-0.011312658,-0.023161174,-0.001765244
2019/6/13,-0.000206046,0.008074135,-0.000512558,0.011037007,0.008203821,0.004885817,0.004126259
2019/6/14,-0.007262364,-0.000336847,-0.002307692,-0.004317065,-0.010920813,-0.017303003,-0.001104969
2019/6/17,0.005966566,0.008750199,0.002569982,0.006986989,-0.001298939,0.005675204,0.000380229
2019/6/18,0.023518469,0.008133469,0.01691874,0.010375792,0.026880511,0.041238576,0.01047102
2019/6/19,-0.002922651,0.003902472,0.01159574,-0.000660472,-0.006333101,-0.002223402,0.002257196
2019/6/20,0.00803564,0.004924534,-0.005233067,0.007867689,0.002549373,0.013091852,0.009554313
2019/6/21,-0.003409245,-0.003591872,0.003256538,0.010932487,0.005721551,-0.000274911,-0.006286707
2019/6/24,-0.001006137,0.001360318,-0.008489388,-0.007704172,0.003582006,0.006050646,-0.001224439
2019/6/25,-0.015157579,-0.018616439,-0.017375951,-0.02607683,-0.016376296,-0.008337903,-0.009807945
2019/6/26,0.021629063,0.010413804,0.004613045,-0.00667538,0.028601944,0.03308055,-0.000997417
2019/6/27,-0.0003003,0.003398657,0.002295918,-0.0034156,-0.015148371,0.00640431,0.003545974
2019/6/28,-0.009111865,-0.005592677,0.005344846,0.005730886,0.008638854,0.008484688,0.005145798
2019/7/1,0.018340764,0.01508211,0.009873392,0.015884697,0.003760184,0.019061351,0.009078512
2019/7/2,0.005854587,0.00630537,0.004763174,0.011454524,0.001456816,-0.006578883,0.002604306
2019/7/3,0.008286924,0.002424607,-0.004491018,0.009338499,0.008312573,-0.004934489,0.007995126
2019/7/5,-0.000880622,0.002016521,-0.002506341,0.008619893,-0.009068384,0.000391583,-0.001137875
2019/7/8,-0.020613975,0.004843205,-0.006532613,-0.014019974,-0.005407695,-0.00039143,-0.00549482
2019/7/9,0.00609939,0.018429409,0.010116287,0.006715676,-0.001463823,-0.001043899,0.00124653
2019/7/10,0.00988865,0.01464064,0.001752604,0.014782658,0.009633487,-0.028608777,0.004778031
2019/7/11,-0.00728237,-0.008099537,-0.010247439,0.002778415,0.008089587,-0.008741286,0.002344238
2019/7/12,0.007682796,0.004962372,0.011616238,0.00110133,0.027160495,0.01614439,0.00447695
2019/7/15,0.009395002,0.004967673,0.005242112,0.004513982,0.00400643,0.007076075,0.000332633
2019/7/16,-0.003459909,-0.005487393,-0.008691383,0.002564038,-0.01895453,0.003181731,-0.003225273
2019/7/17,-0.005623433,-0.008890987,-0.022294565,-0.005825925,0.004474293,0.001189428,-0.00680502
2019/7/18,0.011359704,-0.007093269,0.018959801,0.000436019,0.011135858,-0.018347399,0.003660902
2019/7/19,-0.014927589,-0.006764752,0.011063591,-0.01367625,0.00660795,0.008471117,-0.005554911
2019/7/22,0.02285406,0.01074562,0.011439916,0.006769397,0.021483947,0.012666627,0.002456442
2019/7/23,0.007817759,0.004462052,0.008851758,0.007759841,0.007789718,-0.024094721,0.007150067
2019/7/24,-0.000814001,0.003168764,0,-0.007247131,0.022608657,0.023610361,0.00469954
2019/7/25,-0.007907203,-0.013489593,-0.005361882,-0.003325383,-0.014361263,-0.006853895,-0.004777077
2019/7/26,0.003477925,-0.015589009,0.01029157,0.096202296,-0.010927914,-0.001725242,0.006700033
2019/7/29,0.009338538,-0.015748487,0.008246423,-0.002714384,0.017832875,-0.003323584,-0.001821195
